file name,number,field
BenzyltriphenylphosphoniumChloride,,organic
альфабромстирол,,organic
бензгидрол,,organic
дибромстирол,,organic
фенилуксуснаякислота,,organic
халкон,,organic
kinet,,physical_chemistry
practice-title,,physical_chemistry
геткат_presentation.md,,physical_chemistry
геткат,,physical_chemistry
Исследование кинетики ферментативной реакции,,physical_chemistry
Кинетика каталитических реакций,,physical_chemistry
Кинетика реакций в растворах,,physical_chemistry
Кинетика фотохимического разложения ферриоксалат-иона в водном растворе,,physical_chemistry
Кинетика фотохимического разложения,,physical_chemistry
kynetics-conduct,,physical_chemistry
Практикум,,physical_chemistry
