,time,kappa
0,1.0,0.756
1,3.0,0.755
2,5.0,0.748
3,7.0,0.742
4,9.0,0.736
5,11.0,0.725
6,13.0,0.717
7,15.0,0.712
8,17.0,0.706
9,19.0,0.703
10,21.0,0.702
11,23.0,0.697
12,25.0,0.69
13,27.0,0.69
14,29.0,0.683
15,31.0,0.676
16,33.0,0.672
17,35.0,0.667
18,37.0,0.663
19,39.0,0.66
20,41.0,0.655
21,43.0,0.652
22,45.0,0.649
23,47.0,0.645
24,49.0,0.64
25,51.0,0.636
26,53.0,0.633
27,55.0,0.63
28,57.0,0.626
29,59.0,0.623
30,61.0,0.62
31,63.0,0.618
32,65.0,0.608
33,67.0,0.611
34,69.0,0.609
35,71.0,0.608
36,73.0,0.605
37,75.0,0.6
38,77.0,0.6
39,79.0,0.595
40,81.0,0.594
41,83.0,0.59
42,85.0,0.588
43,87.0,0.585
44,89.0,0.582
45,91.0,0.58
46,93.0,0.577
47,95.0,0.576
48,97.0,0.572
49,99.0,0.569
50,101.0,0.567
51,103.0,0.565
52,105.0,0.563
53,107.0,0.56
54,109.0,0.558
55,111.0,0.556
56,113.0,0.553
57,115.0,0.549
58,117.0,0.549
59,119.0,0.549
60,121.0,0.54
61,123.0,0.542
62,125.0,0.54
63,127.0,0.539
64,129.0,0.537
65,131.0,0.534
66,133.0,0.532
67,135.0,0.53
68,137.0,0.526
69,139.0,0.526
70,141.0,0.526
71,143.0,0.521
72,145.0,0.522
73,147.0,0.519
74,149.0,0.518
75,151.0,0.516
76,153.0,0.514
77,155.0,0.513
78,157.0,0.511
79,159.0,0.509
80,161.0,0.508
81,163.0,0.506
82,165.0,0.505
83,167.0,0.502
84,169.0,0.5
85,171.0,0.498
86,173.0,0.497
87,175.0,0.496
88,177.0,0.494
89,179.0,0.492
90,181.0,0.491
91,183.0,0.489
92,185.0,0.488
93,187.0,0.486
94,189.0,0.487
95,191.0,0.484
96,193.0,0.483
97,195.0,0.482
98,197.0,0.479
99,199.0,0.479
100,201.0,0.476
101,203.0,0.476
102,205.0,0.474
103,207.0,0.472
104,209.0,0.471
105,211.0,0.471
106,213.0,0.469
107,215.0,0.468
108,217.0,0.467
109,219.0,0.465
110,221.0,0.465
111,223.0,0.463
112,225.0,0.461
113,227.0,0.459
114,229.0,0.459
115,231.0,0.458
116,233.0,0.457
117,235.0,0.456
118,237.0,0.455
119,239.0,0.454
120,241.0,0.452
121,243.0,0.452
122,245.0,0.451
123,247.0,0.45
124,249.0,0.448
125,251.0,0.447
126,253.0,0.446
127,255.0,0.445
128,257.0,0.445
129,259.0,0.443
130,261.0,0.441
131,263.0,0.442
132,265.0,0.441
133,267.0,0.44
134,269.0,0.439
135,271.0,0.438
136,273.0,0.437
137,275.0,0.436
138,277.0,0.435
139,279.0,0.434
140,281.0,0.433
141,283.0,0.433
142,285.0,0.43
143,287.0,0.43
144,289.0,0.429
145,291.0,0.429
146,293.0,0.427
147,295.0,0.427
148,297.0,0.426
149,299.0,0.425
150,301.0,0.426
151,303.0,0.425
152,305.0,0.423
153,307.0,0.422
154,309.0,0.421
155,311.0,0.419
156,313.0,0.42
157,315.0,0.42
158,317.0,0.42
159,319.0,0.418
160,321.0,0.418
161,323.0,0.416
162,325.0,0.415
163,327.0,0.415
164,329.0,0.415
165,331.0,0.413
166,333.0,0.413
167,335.0,0.413
168,337.0,0.413
169,339.0,0.412
170,341.0,0.412
171,343.0,0.411
172,345.0,0.411
173,347.0,0.41
174,349.0,0.409
175,351.0,0.409
176,353.0,0.408
177,355.0,0.408
178,357.0,0.406
179,359.0,0.406
180,361.0,0.405
181,363.0,0.405
182,365.0,0.405
183,367.0,0.404
184,369.0,0.404
185,371.0,0.403
186,373.0,0.403
187,375.0,0.402
188,377.0,0.402
189,379.0,0.401
190,381.0,0.4
191,383.0,0.4
192,385.0,0.4
193,387.0,0.4
194,389.0,0.397
195,391.0,0.397
196,393.0,0.397
197,395.0,0.397
198,397.0,0.396
199,399.0,0.395
200,401.0,0.396
201,403.0,0.395
202,405.0,0.395
203,407.0,0.394
204,409.0,0.394
205,411.0,0.393
206,413.0,0.392
207,415.0,0.392
208,417.0,0.392
209,419.0,0.391
210,421.0,0.391
211,423.0,0.39
212,425.0,0.391
213,427.0,0.39
214,429.0,0.39
215,431.0,0.389
216,433.0,0.389
217,435.0,0.389
218,437.0,0.387
219,439.0,0.388
220,441.0,0.386
221,443.0,0.387
222,445.0,0.387
223,447.0,0.387
224,449.0,0.386
225,451.0,0.384
226,453.0,0.386
227,455.0,0.385
228,457.0,0.385
229,459.0,0.384
230,461.0,0.385
231,463.0,0.383
232,465.0,0.383
233,467.0,0.382
234,469.0,0.384
235,471.0,0.382
236,473.0,0.382
237,475.0,0.381
238,477.0,0.381
239,479.0,0.381
240,481.0,0.38
241,483.0,0.381
242,485.0,0.38
243,487.0,0.379
244,489.0,0.379
245,491.0,0.379
246,493.0,0.378
247,495.0,0.378
248,497.0,0.378
249,499.0,0.377
250,501.0,0.377
251,503.0,0.377
252,505.0,0.376
253,507.0,0.376
254,509.0,0.378
255,511.0,0.375
256,513.0,0.375
257,515.0,0.375
258,517.0,0.374
259,519.0,0.374
260,521.0,0.375
261,523.0,0.374
262,525.0,0.374
263,527.0,0.373
264,529.0,0.372
265,531.0,0.372
266,533.0,0.373
267,535.0,0.372
268,537.0,0.371
269,539.0,0.373
270,541.0,0.37
271,543.0,0.371
272,545.0,0.37
273,547.0,0.37
274,549.0,0.37
275,551.0,0.369
276,553.0,0.37
277,555.0,0.371
278,557.0,0.37
279,559.0,0.369
280,561.0,0.368
281,563.0,0.369
282,565.0,0.368
283,567.0,0.369
284,569.0,0.37
285,571.0,0.369
286,573.0,0.369
287,575.0,0.367
288,577.0,0.368
