,time,kappa,x,y
0,1.0,1.099,-0.0,44.668503
1,3.0,1.064,0.00030594377,45.70623
2,5.0,1.044,0.0004807688,46.33249
3,7.0,1.034,0.0005681813,46.65546
4,9.0,1.023,0.00066433544,47.018726
5,11.0,1.01,0.00077797193,47.459335
6,13.0,0.991,0.00094405573,48.12666
7,15.0,0.981,0.0010314683,48.48971
8,17.0,0.964,0.0011800699,49.126907
9,19.0,0.943,0.001363636,49.951454
10,21.0,0.93,0.0014772726,50.48434
11,23.0,0.925,0.0015209788,50.694157
12,25.0,0.912,0.0016346152,51.253017
13,27.0,0.898,0.0017569929,51.877625
14,29.0,0.885,0.0018706293,52.480286
15,31.0,0.871,0.001993007,53.155632
16,33.0,0.869,0.0020104893,53.254467
17,35.0,0.858,0.0021066435,53.809128
18,37.0,0.847,0.002202797,54.383472
19,39.0,0.838,0.0022814684,54.86899
20,41.0,0.831,0.0023426574,55.2569
21,43.0,0.818,0.0024562934,56.002705
22,45.0,0.808,0.0025437057,56.600456
23,47.0,0.801,0.002604895,57.032238
24,49.0,0.794,0.0026660836,57.475647
25,51.0,0.775,0.002832168,58.742947
26,53.0,0.772,0.0028583913,58.95222
27,55.0,0.766,0.0029108394,59.378872
28,57.0,0.753,0.0030244754,60.34263
29,59.0,0.746,0.0030856645,60.885612
30,61.0,0.742,0.0031206296,61.204006
31,63.0,0.74,0.0031381117,61.3655
32,65.0,0.729,0.0032342658,62.282665
33,67.0,0.723,0.0032867133,62.804893
34,69.0,0.714,0.0033653846,63.61993
35,71.0,0.716,0.0033479019,63.435368
36,73.0,0.708,0.0034178318,64.18602
37,75.0,0.704,0.0034527972,64.574234
38,77.0,0.7,0.003487762,64.97156
39,79.0,0.693,0.003548951,65.69012
40,81.0,0.681,0.0036538462,66.997406
41,83.0,0.681,0.0036538462,66.997406
42,85.0,0.675,0.0037062936,67.69071
43,87.0,0.669,0.0037587408,68.41337
44,89.0,0.667,0.0037762239,68.661224
45,91.0,0.665,0.0037937062,68.912704
46,93.0,0.653,0.0038986013,70.50443
47,95.0,0.656,0.003872377,70.09243
48,97.0,0.649,0.0039335666,71.06958
49,99.0,0.645,0.0039685313,71.65392
50,101.0,0.643,0.003986014,71.95371
51,103.0,0.64,0.0040122382,72.41341
52,105.0,0.645,0.0039685313,71.65392
53,107.0,0.638,0.00402972,72.7268
54,109.0,0.636,0.004047203,73.046005
55,111.0,0.631,0.004090909,73.87081
56,113.0,0.638,0.00402972,72.7268
57,115.0,0.626,0.0041346154,74.73694
58,117.0,0.622,0.0041695805,75.46244
59,119.0,0.618,0.0042045456,76.21961
60,121.0,0.61,0.0042744754,77.8408
61,123.0,0.609,0.004283217,78.054504
62,125.0,0.609,0.004283217,78.054504
63,127.0,0.608,0.004291958,78.27087
64,129.0,0.598,0.0043793707,80.59634
65,131.0,0.596,0.004396853,81.10106
66,133.0,0.595,0.004405594,81.358986
67,135.0,0.589,0.004458042,82.99196
68,137.0,0.59,0.004449301,82.709015
69,139.0,0.588,0.0044667833,83.27957
70,141.0,0.582,0.00451923,85.111916
71,143.0,0.586,0.0044842656,83.86933
72,145.0,0.579,0.0045454544,86.10524
73,147.0,0.58,0.0045367135,85.76787
74,149.0,0.587,0.004475524,83.57197
75,151.0,0.582,0.00451923,85.111916
76,153.0,0.578,0.004554196,86.44923
77,155.0,0.574,0.0045891604,87.89668
78,157.0,0.574,0.0045891604,87.89668
79,159.0,0.572,0.004606643,88.66768
80,161.0,0.569,0.004632867,89.89139
81,163.0,0.564,0.0046765734,92.14097
82,165.0,0.566,0.0046590907,91.206436
83,167.0,0.563,0.0046853144,92.62744
84,169.0,0.564,0.0046765734,92.14097
85,171.0,0.563,0.0046853144,92.62744
86,173.0,0.56,0.0047115386,94.172935
87,175.0,0.558,0.0047290204,95.283775
88,177.0,0.556,0.0047465037,96.46919
89,179.0,0.553,0.004772728,98.41089
90,181.0,0.552,0.004781469,99.10845
91,183.0,0.551,0.0047902097,99.83462
92,185.0,0.551,0.0047902097,99.83462
93,187.0,0.548,0.004816434,102.210815
94,189.0,0.548,0.004816434,102.210815
95,191.0,0.551,0.0047902097,99.83462
96,193.0,0.548,0.004816434,102.210815
97,195.0,0.546,0.004833916,103.99244
98,197.0,0.544,0.0048513985,105.97304
99,199.0,0.546,0.004833916,103.99244
100,201.0,0.541,0.0048776222,109.431755
101,203.0,0.543,0.00486014,107.05286
102,205.0,0.538,0.0049038464,113.72995
103,207.0,0.54,0.004886363,110.75228
104,209.0,0.541,0.0048776222,109.431755
105,211.0,0.535,0.0049300697,119.408165
106,213.0,0.538,0.0049038464,113.72995
107,215.0,0.537,0.0049125873,115.42907
108,217.0,0.537,0.0049125873,115.42907
109,219.0,0.536,0.0049213287,117.30776
110,221.0,0.54,0.004886363,110.75228
111,223.0,0.541,0.0048776222,109.431755
112,225.0,0.536,0.0049213287,117.30776
113,227.0,0.536,0.0049213287,117.30776
114,229.0,0.538,0.0049038464,113.72995
115,231.0,0.539,0.004895105,112.178925
116,233.0,0.543,0.00486014,107.05286
117,235.0,0.542,0.004868881,108.20251
118,237.0,0.538,0.0049038464,113.72995
119,239.0,0.535,0.0049300697,119.408165
120,241.0,0.533,0.0049475525,124.539856
121,243.0,0.54,0.004886363,110.75228
122,245.0,0.534,0.004938811,121.7899
123,247.0,0.542,0.004868881,108.20251
124,249.0,0.543,0.00486014,107.05286
125,251.0,0.545,0.004842657,104.95512
126,253.0,0.545,0.004842657,104.95512
127,255.0,0.546,0.004833916,103.99244
128,257.0,0.549,0.004807692,101.38282
129,259.0,0.55,0.0047989506,100.5918
130,261.0,0.546,0.004833916,103.99244
131,263.0,0.541,0.0048776222,109.431755
132,265.0,0.541,0.0048776222,109.431755
133,267.0,0.545,0.004842657,104.95512
134,269.0,0.542,0.004868881,108.20251
135,271.0,0.548,0.004816434,102.210815
136,273.0,0.548,0.004816434,102.210815
137,275.0,0.555,0.0047552446,97.093025
138,277.0,0.544,0.0048513985,105.97304
139,279.0,0.542,0.004868881,108.20251
140,281.0,0.532,0.0049562934,127.79269
141,283.0,0.529,0.0049825176,144.14696
142,285.0,0.536,0.0049213287,117.30776
143,287.0,0.539,0.004895105,112.178925
144,289.0,0.538,0.0049038464,113.72995
145,291.0,0.538,0.0049038464,113.72995
146,293.0,0.53,0.0049737766,136.90944
147,295.0,0.525,0.0050174827,
148,297.0,0.527,0.005,inf
149,299.0,0.527,0.005,inf
150,301.0,0.527,0.005,inf
151,303.0,0.53,0.0049737766,136.90944
152,305.0,0.524,0.0050262236,
153,307.0,0.521,0.0050524473,
154,309.0,0.527,0.005,inf
155,311.0,0.527,0.005,inf
156,313.0,0.517,0.0050874124,
157,315.0,0.517,0.0050874124,
158,317.0,0.514,0.0051136366,
159,319.0,0.518,0.005078671,
160,321.0,0.521,0.0050524473,
161,323.0,0.524,0.0050262236,
162,325.0,0.523,0.005034965,
163,327.0,0.519,0.00506993,
164,329.0,0.516,0.005096154,
165,331.0,0.525,0.0050174827,
166,333.0,0.527,0.005,inf
167,335.0,0.533,0.0049475525,124.539856
168,337.0,0.54,0.004886363,110.75228
169,339.0,0.532,0.0049562934,127.79269
170,341.0,0.536,0.0049213287,117.30776
171,343.0,0.532,0.0049562934,127.79269
172,345.0,0.527,0.005,inf
173,347.0,0.533,0.0049475525,124.539856
174,349.0,0.531,0.004965035,131.77466
175,351.0,0.524,0.0050262236,
176,353.0,0.533,0.0049475525,124.539856
177,355.0,0.535,0.0049300697,119.408165
178,357.0,0.533,0.0049475525,124.539856
179,359.0,0.533,0.0049475525,124.539856
180,361.0,0.538,0.0049038464,113.72995
181,363.0,0.534,0.004938811,121.7899
182,365.0,0.534,0.004938811,121.7899
183,367.0,0.533,0.0049475525,124.539856
184,369.0,0.532,0.0049562934,127.79269
185,371.0,0.531,0.004965035,131.77466
186,373.0,0.53,0.0049737766,136.90944
187,375.0,0.526,0.005008741,
188,377.0,0.52,0.005061189,
189,379.0,0.527,0.005,inf
190,381.0,0.523,0.005034965,
191,383.0,0.527,0.005,inf
192,385.0,0.527,0.005,inf
193,387.0,0.523,0.005034965,
194,389.0,0.521,0.0050524473,
195,391.0,0.518,0.005078671,
196,393.0,0.518,0.005078671,
197,395.0,0.516,0.005096154,
198,397.0,0.52,0.005061189,
199,399.0,0.527,0.005,inf
200,401.0,0.528,0.004991259,156.52226
201,403.0,0.529,0.0049825176,144.14696
202,405.0,0.525,0.0050174827,
203,407.0,0.518,0.005078671,
204,409.0,0.521,0.0050524473,
205,411.0,0.528,0.004991259,156.52226
206,413.0,0.519,0.00506993,
207,415.0,0.524,0.0050262236,
208,417.0,0.531,0.004965035,131.77466
209,419.0,0.535,0.0049300697,119.408165
210,421.0,0.532,0.0049562934,127.79269
211,423.0,0.53,0.0049737766,136.90944
212,425.0,0.526,0.005008741,
213,427.0,0.522,0.0050437064,
214,429.0,0.531,0.004965035,131.77466
215,431.0,0.533,0.0049475525,124.539856
216,433.0,0.536,0.0049213287,117.30776
217,435.0,0.541,0.0048776222,109.431755
218,437.0,0.537,0.0049125873,115.42907
219,439.0,0.538,0.0049038464,113.72995
220,441.0,0.538,0.0049038464,113.72995
221,443.0,0.54,0.004886363,110.75228
222,445.0,0.546,0.004833916,103.99244
223,447.0,0.542,0.004868881,108.20251
224,449.0,0.535,0.0049300697,119.408165
225,451.0,0.538,0.0049038464,113.72995
226,453.0,0.537,0.0049125873,115.42907
227,455.0,0.526,0.005008741,
228,457.0,0.526,0.005008741,
229,459.0,0.532,0.0049562934,127.79269
230,461.0,0.526,0.005008741,
231,463.0,0.523,0.005034965,
232,465.0,0.523,0.005034965,
233,467.0,0.522,0.0050437064,
234,469.0,0.521,0.0050524473,
235,471.0,0.521,0.0050524473,
236,473.0,0.522,0.0050437064,
237,475.0,0.527,0.005,inf
238,477.0,0.524,0.0050262236,
239,479.0,0.512,0.005131119,
240,481.0,0.521,0.0050524473,
241,483.0,0.517,0.0050874124,
242,485.0,0.52,0.005061189,
243,487.0,0.516,0.005096154,
244,489.0,0.52,0.005061189,
245,491.0,0.515,0.005104895,
246,493.0,0.513,0.0051223775,
247,495.0,0.516,0.005096154,
248,497.0,0.515,0.005104895,
249,499.0,0.516,0.005096154,
250,501.0,0.517,0.0050874124,
251,503.0,0.509,0.0051573426,
252,505.0,0.518,0.005078671,
253,507.0,0.527,0.005,inf
254,509.0,0.526,0.005008741,
255,511.0,0.524,0.0050262236,
256,513.0,0.515,0.005104895,
257,515.0,0.523,0.005034965,
258,517.0,0.527,0.005,inf
259,519.0,0.525,0.0050174827,
260,521.0,0.526,0.005008741,
261,523.0,0.529,0.0049825176,144.14696
262,525.0,0.523,0.005034965,
263,527.0,0.524,0.0050262236,
264,529.0,0.524,0.0050262236,
265,531.0,0.522,0.0050437064,
266,533.0,0.52,0.005061189,
267,535.0,0.517,0.0050874124,
268,537.0,0.518,0.005078671,
269,539.0,0.524,0.0050262236,
270,541.0,0.528,0.004991259,156.52226
271,543.0,0.525,0.0050174827,
272,545.0,0.527,0.005,inf
273,547.0,0.526,0.005008741,
274,549.0,0.518,0.005078671,
275,551.0,0.531,0.004965035,131.77466
276,553.0,0.534,0.004938811,121.7899
277,555.0,0.527,0.005,inf
278,557.0,0.534,0.004938811,121.7899
279,559.0,0.533,0.0049475525,124.539856
280,561.0,0.533,0.0049475525,124.539856
281,563.0,0.528,0.004991259,156.52226
282,565.0,0.525,0.0050174827,
283,567.0,0.533,0.0049475525,124.539856
284,569.0,0.54,0.004886363,110.75228
285,571.0,0.532,0.0049562934,127.79269
286,573.0,0.524,0.0050262236,
287,575.0,0.528,0.004991259,156.52226
288,577.0,0.526,0.005008741,
289,579.0,0.535,0.0049300697,119.408165
290,581.0,0.53,0.0049737766,136.90944
291,583.0,0.529,0.0049825176,144.14696
292,585.0,0.535,0.0049300697,119.408165
293,587.0,0.525,0.0050174827,
294,589.0,0.528,0.004991259,156.52226
295,591.0,0.535,0.0049300697,119.408165
296,593.0,0.529,0.0049825176,144.14696
297,595.0,0.532,0.0049562934,127.79269
298,597.0,0.528,0.004991259,156.52226
299,599.0,0.53,0.0049737766,136.90944
300,601.0,0.532,0.0049562934,127.79269
301,603.0,0.525,0.0050174827,
302,605.0,0.529,0.0049825176,144.14696
303,607.0,0.527,0.005,inf
304,609.0,0.524,0.0050262236,
305,611.0,0.529,0.0049825176,144.14696
306,613.0,0.523,0.005034965,
307,615.0,0.527,0.005,inf
308,617.0,0.526,0.005008741,
309,619.0,0.529,0.0049825176,144.14696
310,621.0,0.523,0.005034965,
311,623.0,0.532,0.0049562934,127.79269
312,625.0,0.53,0.0049737766,136.90944
313,627.0,0.529,0.0049825176,144.14696
314,629.0,0.532,0.0049562934,127.79269
315,631.0,0.535,0.0049300697,119.408165
316,633.0,0.531,0.004965035,131.77466
317,635.0,0.531,0.004965035,131.77466
318,637.0,0.525,0.0050174827,
319,639.0,0.526,0.005008741,
320,641.0,0.527,0.005,inf
